Цена,Инфо,Цена
18080 сом,Сотовый телефон Philips Xenium V526 LTE синий,"Сотовый телефон Philips Xenium V526 LTE синийсмартфон, Android 5.1; поддержка двух SIM-карт; экран 5"", разрешение 1280x720; камера 13 МП; память 8 Гб, слот для карты памяти; 3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, GPS, ГЛОНАСС; аккумулятор 5000..."
112720 сом,Сотовый телефон Apple iPhone 13 Pro Max 256GB зеленый,"Сотовый телефон Apple iPhone 13 Pro Max 256GB зеленыйОперационная система Apple iOS 15; экран 6.7"" OLED 2778x1284 ~120 Гц; процессор Apple A15 Bionic x6 core; память 6/256 GB; основная камера 12 mpx (F/1.5); фронтальная камера 12 mpx (F/2.2);..."
103890 сом,Сотовый телефон Apple iPhone 13 Pro 256GB зеленый,"Сотовый телефон Apple iPhone 13 Pro 256GB зеленыйОперационная система Apple iOS 15; экран 6.1"" OLED 2532x1170 ~120 Гц; процессор Apple A15 Bionic x6 core; память 6/256 GB; основная камера 12 mpx (F/1.5); фронтальная камера 12 mpx (F/2.2);..."
95060 сом,Сотовый телефон Apple iPhone 13 Pro 128GB зеленый,"Сотовый телефон Apple iPhone 13 Pro 128GB зеленыйОперационная система Apple iOS 15; экран 6.1"" OLED 2532x1170 ~120 Гц; процессор Apple A15 Bionic x6 core; память 6/128 GB; основная камера 12 mpx (F/1.5); фронтальная камера 12 mpx (F/2.2);..."
7610 сом,Сотовый телефон BRAVIS A505 Joy Plus белый,"Сотовый телефон BRAVIS A505 Joy Plus белыйсмартфон, Android 6.0
	поддержка двух SIM-карт
	экран 5"", разрешение 1280x720
	камера 8 МП
	память 8 Гб, слот для карты памяти
	3G, Wi-Fi, Bluetooth, GPS
	объем оперативной памяти 1 Гб
	аккумулятор 2500 мА⋅ч
	вес 152 г, ШxВxТ 70x142x8.20 мм"
95060 сом,Сотовый телефон Apple iPhone 13 Pro 128GB графитовый,"Сотовый телефон Apple iPhone 13 Pro 128GB графитовыйiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 128 ГБ, без слота..."
103890 сом,Сотовый телефон Apple iPhone 13 Pro 256GB графитовый,"Сотовый телефон Apple iPhone 13 Pro 256GB графитовыйiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 256 ГБ, без слота..."
95060 сом,Сотовый телефон Apple iPhone 13 Pro 128GB синий,"Сотовый телефон Apple iPhone 13 Pro 128GB синийiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 128 ГБ, без слота..."
103890 сом,Сотовый телефон Apple iPhone 13 Pro 256GB синий,"Сотовый телефон Apple iPhone 13 Pro 256GB синийiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 256 ГБ, без слота..."
95060 сом,Сотовый телефон Apple iPhone 13 Pro 128GB золотой,"Сотовый телефон Apple iPhone 13 Pro 128GB золотойiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 128 ГБ, без слота..."
103890 сом,Сотовый телефон Apple iPhone 13 Pro 256GB золотой,"Сотовый телефон Apple iPhone 13 Pro 256GB золотойiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 256 ГБ, без слота..."
95060 сом,Сотовый телефон Apple iPhone 13 Pro 128GB серебристый,"Сотовый телефон Apple iPhone 13 Pro 128GB серебристыйiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 128 ГБ, без слота..."
103890 сом,Сотовый телефон Apple iPhone 13 Pro 256GB серебристый,"Сотовый телефон Apple iPhone 13 Pro 256GB серебристыйiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.1"", разрешение 2532x1170, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 256 ГБ, без слота..."
112720 сом,Сотовый телефон Apple iPhone 13 Pro Max 256GB графитовый,"Сотовый телефон Apple iPhone 13 Pro Max 256GB графитовыйiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.7"", разрешение 2778x1284, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 256 ГБ, без слота..."
112720 сом,Сотовый телефон Apple iPhone 13 Pro Max 256GB серебристый,"Сотовый телефон Apple iPhone 13 Pro Max 256GB серебристыйiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.7"", разрешение 2778x1284, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 256 ГБ, без слота..."
112720 сом,Сотовый телефон Apple iPhone 13 Pro Max 256GB золотой,"Сотовый телефон Apple iPhone 13 Pro Max 256GB золотойiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.7"", разрешение 2778x1284, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 256 ГБ, без слота..."
112720 сом,Сотовый телефон Apple iPhone 13 Pro Max 256GB синий,"Сотовый телефон Apple iPhone 13 Pro Max 256GB синийiOS 15, поддержка SIM-карт (nano SIM+eSIM), экран 6.7"", разрешение 2778x1284, тройная камера: сверхширокоугольная (12 МП), широкоугольная (12 МП), телефото (12 МП), процессор Apple A15 Bionic, память 256 ГБ, без слота..."
36760 сом,Сотовый телефон ASUS Fonepad Note 6 16Gb черный,"Сотовый телефон ASUS Fonepad Note 6 16Gb черныйсмартфон, Android 4.2; экран 6"", разрешение 1920x1080; камера 8 МП, автофокус; память 16 Гб, слот для карты памяти; 3G, Wi-Fi, Bluetooth, GPS, ГЛОНАСС; аккумулятор 3200 мА⋅ч; вес 210 г, ШxВxТ..."
8390 сом,Смартфон iLife itell S500S серебристый,"Смартфон iLife itell S500S серебристыйСмартфон ,Android 4.4.2 ,Поддержка двух SIM-карт ,Экран 5.0 "" ,Объем оперативной памяти 512 Мб ,Объем встроенной памяти 4 Гб ,Камера 8 Мп ,Фронтальная камера 0,3 Мп ,FM-радио ,Bluetooth ,Wi-Fi"
23100 сом,Сотовый телефон Xiaomi Mi 11 Lite 5G 8/128GB черный,"Сотовый телефон Xiaomi Mi 11 Lite 5G 8/128GB черныйэкран: 6.55"" (2400x1080) 90 Гц, оперативная память: 8 ГБ, память: 128 ГБ, слот для карты памяти, 3 камеры: 64 МП, 8 МП, 5 МП, аккумулятор: 4250 мА·ч, процессор: Qualcomm Snapdragon..."
